.onset	duration	trial_type
0.0052	2	three
2.0052	11.999	rest
14.0042	2	ten
16.0042	11.999	rest
28.0032	2	four
30.0032	12	rest
42.0032	2	child
44.0032	12	rest
56.0032	2	daughter
58.0032	12.001	rest
70.0042	2	ten
72.0042	12	rest
84.0042	2	four
86.0042	12	rest
98.0042	2.001	daughter
100.0052	12	rest
112.0052	2	four
114.0052	12	rest
126.0052	2	six
128.0052	12	rest
140.0052	2	daughter
142.0052	12	rest
154.0052	2	four
156.0052	12	rest
168.0052	2	six
170.0052	11.997	rest
182.0022	2	wife
184.0022	12	rest
196.0022	2	four
198.0022	12	rest
210.0022	2	ten
212.0022	12.001	rest
224.0032	2	ten
226.0032	12	rest
238.0032	2	father
240.0032	12	rest
252.0032	2	daughter
254.0032	12	rest
266.0032	2	child
268.0032	12	rest
280.0032	2	child
282.0032	12	rest
294.0032	2	child
296.0032	12	rest
308.0032	2	daughter
310.0032	12	rest
322.0032	2	wife
324.0032	11.987	rest
335.9902	2.013	wife
338.0032	11.987	rest
349.9902	2	child
351.9902	11.997	rest
363.9872	2	wife
365.9872	11.997	rest
377.9842	2	wife
379.9842	11.998	rest
391.9822	2	ten
393.9822	11.998	rest
405.9802	2	six
407.9802	11.998	rest
419.9782	2.001	ten
421.9792	11.999	rest
433.9782	2	six
435.9782	11.997	rest
447.9752	2	child
449.9752	12	rest
461.9752	2	wife
463.9752	12	rest
475.9752	2	four
477.9752	12	rest
489.9752	2	father
491.9752	12	rest
503.9752	2	father
505.9752	11.998	rest
517.9732	2	wife
519.9732	12	rest
531.9732	2	ten
533.9732	12.001	rest
545.9742	2	child
547.9742	12	rest
559.9742	2	wife
561.9742	12	rest
573.9742	2	father
575.9742	12	rest
587.9742	2	four
589.9742	12	rest
601.9742	2	four
603.9742	12	rest
615.9742	2	daughter
617.9742	12	rest
629.9742	2	child
631.9742	12	rest
643.9742	2	wife
645.9742	12	rest
657.9742	2	six
659.9742	12	rest
671.9742	2	father
673.9742	12	rest
685.9742	2	daughter
687.9742	12	rest
699.9742	2.001	child
701.9752	12	rest
713.9752	2	six
715.9752	12	rest
727.9752	2	ten
729.9752	12	rest
741.9752	2	father
743.9752	11.987	rest
755.9622	2.013	child
757.9752	11.986	rest
769.9612	2	father
771.9612	11.997	rest
783.9582	2	child
785.9582	11.997	rest
797.9552	2	child
799.9552	11.998	rest
811.9532	2	father
813.9532	11.998	rest
825.9512	2	three
827.9512	11.999	rest
839.9502	2	wife
841.9502	11.999	rest
853.9492	2	four
855.9492	11.999	rest
867.9482	2.001	three
869.9492	12	rest
881.9492	2	three
883.9492	12	rest
895.9492	2	daughter
897.9492	12	rest
909.9492	2	child
911.9492	11.997	rest
923.9462	2	three
925.9462	12	rest
937.9462	2	three
939.9462	12	rest
951.9462	2	six
953.9462	12.001	rest
965.9472	2	daughter
967.9472	12	rest
979.9472	2	child
981.9472	12	rest
993.9472	2.001	ten
995.9482	12	rest
1007.9482	2	four
1009.9482	12	rest
1021.9482	2	six
1023.9482	12	rest
1035.9482	2	child
1037.9482	12	rest
1049.9482	2	daughter
1051.9482	6.051	rest
